pop,iter,gen num,C,gamma,time,cv score,logloss,accuracy
10,5,0,0.498917,0.238895,1.17,2.318614,1.797332,0.588235
10,10,2,0.951934,0.772284,3.39,2.248885,1.316599,0.715686
10,20,1,0.789687,0.865127,8.47,2.284584,1.362445,0.715686
10,50,23,0.522148,0.897803,45.36,2.258524,1.598832,0.696078
10,100,18,0.778453,0.903627,215.56,2.24919,1.597466,0.715686
20,5,3,0.734826,0.792028,1.8,2.267316,1.530664,0.705882
20,10,8,0.773557,0.940156,4.15,2.249166,1.421809,0.72549
20,20,9,0.809572,0.948005,13.49,2.266422,1.644196,0.72549
20,50,23,0.743888,0.929618,72.13,2.254207,1.460628,0.715686
20,100,69,0.912512,0.830734,254.93,2.2361,1.411296,0.715686
50,5,1,0.83546,0.765408,3.06,2.272703,1.409115,0.72549
50,10,8,0.661562,0.801659,8.8,2.284497,1.476152,0.705882
50,20,10,0.678544,0.862862,32.01,2.259467,1.402371,0.705882
50,50,33,0.77309,0.897324,168.93,2.245521,1.697309,0.715686
50,100,7,0.735145,0.950181,647.44,2.245206,1.535622,0.715686
100,5,4,0.874356,0.666245,6.58,2.286599,1.443904,0.696078
100,10,4,0.865063,0.883355,17.77,2.228063,1.339122,0.715686
100,20,14,0.758646,0.753038,55.48,2.235956,1.871298,0.715686
100,50,15,0.720993,0.853719,267.03,2.234466,1.386049,0.715686
100,100,33,0.677532,0.736065,953.56,2.234557,1.45305,0.705882
200,5,2,0.838728,0.844323,11.79,2.257453,1.396679,0.715686
200,10,7,0.746672,0.794966,35.85,2.245369,1.403357,0.705882
200,20,1,0.782966,0.882653,104.8,2.244267,1.433705,0.715686
200,50,43,0.724877,0.833313,463.23,2.233841,1.42213,0.715686
200,100,64,0.710254,0.814443,1813.25,2.234269,1.668056,0.705882
