pop,iter,gen_num,C,Gamma,cv_score,log_loss,accuracy
10,5,2,53.9639803395,5.52272448364,-2.25715970858,1.37877172566,0.745098039216
10,10,1,17.9828135876,2.03602039348,-2.25527722866,1.39296030445,0.745098039216
10,20,3,51.4052447098,3.45729802581,-2.24658682087,1.4032747881,0.754901960784
20,5,4,45.586908677,3.77801013774,-2.24842669512,1.34124021063,0.774509803922
20,10,9,9.46179652932,4.98753090086,-2.23586117954,1.37548205985,0.754901960784
20,20,19,37.8977038461,0.0573387343062,-2.02053437332,1.39897695466,0.725490196078
40,5,4,40.5543356551,5.29819185454,-2.24945978802,1.36657329279,0.754901960784
40,10,7,56.0520931427,4.32762266841,-2.24246521798,1.3291123165,0.774509803922
40,20,6,83.0119576678,3.80574399907,-2.24619850169,1.41383415844,0.774509803922
